start_time,nginx-web-server--nginx-web-server,nginx-web-server--social-graph-service,social-graph-service--social-graph-service,social-graph-service--user-service,user-service--user-service
1650161691,0.441584708,0.503425733,0.414558628,2.212795021,1.877775787
1650161695,-0.265950421,-0.199259952,-0.384157366,0.119118513,0.673499775
1650161696,-0.115296554,-0.003459513,0.247435988,0.452203412,1.180563359
1650161697,-0.251602434,-0.255987181,-0.559961702,-0.332925279,0.229819139
1650161698,-0.250705685,-0.270626466,-0.501360256,0.309452741,0.071361769
1650161699,-0.052524109,0.013009682,-0.132388194,1.879710122,2.511605267
1650161699,-0.07404609,-0.085805492,0.106358435,-0.856344406,-0.657542133
1650161703,-0.308994384,-0.168151471,-0.275636171,0.142910291,0.705191249
1650161703,-0.327826117,-0.285265751,-0.323385497,-1.403555312,-1.259680139
1650161705,-0.128747792,-0.032738083,0.247435988,-0.404300615,-0.118787075
1650161706,1.865622459,1.782533269,3.201382913,8.517616326,10.8781544
1650161706,0.321420313,0.26553735,0.442774139,0.880455425,1.085488937
1650161708,-0.049833861,0.082546287,0.093335892,1.974877236,1.434095151
1650161711,1.141945844,1.118275708,-0.353771431,-0.689801957,-1.386446035
1650161713,0.123238737,-0.083975581,-0.319044649,0.785288311,-0.055404127
1650161717,-0.136818535,-0.179130934,-0.121536074,1.522833445,1.941158735
1650161720,-0.139508782,-0.169981381,-0.34726016,0.785288311,1.180563359
1650161730,-0.352038346,-0.325523786,-0.635926538,0.16670207,0.261510613
1650161736,-0.435436023,-0.363951909,-0.299510834,-0.356717058,0.356585035
1650161740,-0.239047945,-0.217559058,-0.340748888,0.00015962,-0.372318867
1650161746,0.449655451,0.375331989,0.850813832,2.260378578,3.208817695
1650161754,0.117858242,0.108165036,0.345105064,0.190493848,0.293202087
1650161758,0.187804681,0.203320389,0.475330497,2.593463477,3.177126221
1650161766,0.022802825,-0.083975581,-0.388498214,0.880455425,-0.784308029
1650161768,0.145657467,0.109994946,-0.134558618,1.380082773,0.578425353
1650161777,-0.316168377,-0.28160593,-0.516553224,-0.237758165,0.134744717
1650161785,1.094418135,0.185021282,0.668498224,0.309452741,0.736882723
1650161791,0.925829283,-0.054697011,-0.162774128,-1.022886856,-0.689233607
1650161797,0.146554217,0.031308789,0.379831846,1.237332102,1.687626943
1650161801,-0.372663578,-0.374931373,-0.627244842,-1.141845748,-0.752616555
1650161803,1.116836866,1.12559535,-0.13021777,-0.451884172,-0.055404127
1650161805,-0.107225811,-0.116913973,-0.355941855,-0.142591051,-1.323063087
1650161807,-0.002306153,0.097185572,0.308207857,0.594954083,0.261510613
1650161815,0.025493073,-0.049207279,0.414558628,-1.165637527,-1.069531295
1650161819,1.0208847,0.013009682,-0.21920515,1.76075123,2.670062637
1650161819,0.178837188,0.247238244,0.20402751,-0.213966387,-0.055404127
1650161834,0.026389822,0.067907002,0.33208252,-0.237758165,-0.055404127
1650161838,0.133102978,0.221619495,0.644623561,-0.903927963,-0.594159185
1650161844,1.520374012,1.451319444,-0.282147443,1.784543008,2.353147897
1650161845,0.079298026,-0.230368432,-0.303851682,-0.737385514,-0.467393289
1650161847,-0.295543146,-0.190110398,-0.290829138,-0.071215716,0.229819139
1650161849,-0.22200971,-0.190110398,-0.444929235,-0.737385514,-0.340627393
1650161850,0.368051272,0.380821721,0.353786759,1.308707438,1.877775787
1650161851,-0.316168377,-0.234028254,-0.362453127,-0.261549944,0.166436191
1650161852,-0.036382623,0.045948074,-0.05208251,2.403129249,1.339020729
1650161855,0.425443222,0.52172484,1.74068763,1.380082773,-0.087095601
1650161857,0.677429751,0.111824857,-0.154092433,1.713167673,0.673499775
1650161858,0.47297093,0.26553735,0.577340421,-0.213966387,-0.340627393
1650161858,-0.083013582,-0.290755483,-0.377646094,-0.927719742,-0.562467711
1650161859,0.248783627,-0.038227815,-0.429736268,1.689375894,1.687626943
1650161859,0.187804681,0.232598959,0.505716432,0.285660962,-0.530776237
1650161859,-0.072252591,0.038628431,0.234413445,0.023951398,-0.594159185
1650161862,0.173456693,0.06424718,0.288674042,-0.023632159,0.388276509
1650161862,-0.200487729,-0.146192543,-0.594688484,-0.095007494,0.641808301
1650161864,-0.166411259,-0.043717547,0.210538782,-0.713593735,-0.245552971
1650161867,-0.220216212,-0.179130934,-0.379816518,0.190493848,0.293202087
1650161870,0.137586725,0.119144499,-0.073786749,1.475249888,0.356585035
1650161873,-0.01665414,0.106335125,0.067290805,0.47599519,0.831957145
1650161877,0.409301736,0.452188236,1.122116819,0.618745861,1.275637781
1650161877,-0.15385677,-0.118743883,-0.1692854,-0.118799273,0.451659457
1650161885,1.16884832,1.250029274,-0.223545998,-0.356717058,-0.118787075
1650161894,0.00576459,-0.179130934,-0.117195227,0.023951398,0.641808301
1650161895,-0.276711412,-0.159001917,-0.017355727,-0.47567595,0.071361769
1650161899,-0.025621632,0.093525751,0.245265564,1.237332102,0.451659457
1650161902,-0.320652123,-0.351142534,-0.436247539,-0.570843064,-0.182170023
1650161903,-0.248912186,-0.261476913,-0.075957172,-0.618426621,-0.404010341
